City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
227,Cabo San Lucas,MX,2022-02-28 22:05:51,22.8909,-109.9124,81.52,47,0,8.05
228,Dubai,AE,2022-02-28 22:02:45,25.2582,55.3047,70.79,67,0,9.51
229,Castlegar,CA,2022-02-28 22:05:59,49.2998,-117.6689,41.29,100,100,2.08
230,Norman Wells,CA,2022-02-28 22:05:59,65.282,-126.8329,3.52,87,31,9.15
231,Porto Novo,BJ,2022-02-28 22:06:00,6.4965,2.6036,81.16,82,43,9.35
232,Maniitsoq,GL,2022-02-28 22:06:00,65.4167,-52.9,-5.85,98,100,4.45
233,Mocuba,MZ,2022-02-28 22:06:01,-16.8392,36.9856,70.79,97,66,1.97
234,Tual,ID,2022-02-28 22:07:01,-5.6667,132.75,83.61,75,100,9.84
235,Alice Springs,AU,2022-02-28 22:07:02,-23.7,133.8833,67.55,77,69,0.0
236,Rawson,AR,2022-02-28 22:07:02,-43.3002,-65.1023,66.78,23,69,11.61
237,Mitsamiouli,KM,2022-02-28 22:07:02,-11.3847,43.2844,81.41,82,97,7.63
238,Portland,US,2022-02-28 22:06:43,45.5234,-122.6762,56.55,91,100,15.77
239,Zeya,RU,2022-02-28 22:07:03,53.75,127.2667,-6.43,92,16,3.91
240,Tessalit,ML,2022-02-28 22:02:13,20.1986,1.0114,78.13,6,39,9.48
241,Lasa,IT,2022-02-28 22:07:04,46.6166,10.7002,23.67,84,15,6.2
242,Mianyang,CN,2022-02-28 22:07:04,31.4593,104.7542,48.29,57,100,5.66
243,Saldanha,ZA,2022-02-28 22:07:04,-33.0117,17.9442,63.73,90,0,8.01
244,Zyryanka,RU,2022-02-28 22:07:05,65.75,150.85,-4.18,97,100,9.8
245,Umm Lajj,SA,2022-02-28 22:05:54,25.0213,37.2685,70.54,62,78,10.83
246,Poya,NC,2022-02-28 22:07:05,-21.35,165.15,83.08,81,100,7.52
247,Belmonte,BR,2022-02-28 22:07:06,-15.8631,-38.8828,77.88,77,29,6.89
248,Buritizeiro,BR,2022-02-28 22:07:06,-17.3511,-44.9622,76.08,60,41,2.26
249,Atar,MR,2022-02-28 22:07:07,20.5169,-13.0499,68.22,36,0,7.92
250,Riyadh,SA,2022-02-28 22:07:07,24.6877,46.7219,61.77,30,0,7.27
251,Vao,NC,2022-02-28 22:06:15,-22.6667,167.4833,79.84,88,100,21.72
252,Piacabucu,BR,2022-02-28 22:07:08,-10.4056,-36.4344,80.24,74,10,9.66
253,Shieli,KZ,2022-02-28 22:07:08,44.1667,66.75,45.66,84,100,15.35
254,Iskateley,RU,2022-02-28 22:07:09,67.6803,53.1512,18.54,81,78,23.02
255,Bassila,BJ,2022-02-28 22:07:09,9.0081,1.6654,86.29,30,10,3.22
256,Akureyri,IS,2022-02-28 22:07:09,65.6835,-18.0878,35.46,98,100,4.52
257,Strelka,RU,2022-02-28 22:07:10,58.0728,93.0344,0.59,100,74,2.42
