,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
260,Te Anau,NZ,-45.4167,167.7167,58.15,78,100,1.19,overcast clouds
261,Lorengau,PG,-2.0226,147.2712,81.03,81,78,1.54,broken clouds
262,General Cepeda,MX,25.3833,-101.45,69.21,33,81,11.12,broken clouds
263,Cap-Aux-Meules,CA,47.3821,-61.8597,15.85,73,75,6.91,broken clouds
264,Mahanoro,MG,-19.9,48.8,76.42,86,100,2.24,overcast clouds
265,Chincha Alta,PE,-13.4099,-76.1323,79.39,74,53,7.23,broken clouds
266,Aykhal,RU,66.0,111.5,-11.45,100,100,2.1,overcast clouds
267,Sulangan,PH,11.1373,123.7228,78.78,79,32,11.43,scattered clouds
268,Talnakh,RU,69.4865,88.3972,-14.8,97,94,6.17,overcast clouds
269,Balclutha,NZ,-46.2339,169.75,60.75,86,100,3.06,overcast clouds
270,Kawalu,ID,-7.3817,108.2082,71.49,95,99,1.52,overcast clouds
271,Nan,TH,18.8333,100.6667,73.87,59,47,0.58,scattered clouds
272,Khor,RU,47.8861,134.9464,-4.05,100,66,3.49,broken clouds
273,Moerai,PF,-22.4333,-151.3333,81.43,73,25,8.66,light rain
274,Twin Falls,US,42.3505,-114.6445,53.94,50,0,8.05,clear sky
275,Cururupu,BR,-1.8283,-44.8683,77.94,87,100,4.29,moderate rain
276,Ust-Uda,RU,54.1742,103.0304,8.56,96,100,5.5,light snow
277,Puerto Leguizamo,CO,-0.1934,-74.7819,76.78,93,98,2.71,overcast clouds
278,Santa Rosa,PH,14.3122,121.1114,78.78,74,87,8.08,light rain
279,Tucumcari,US,35.1717,-103.725,75.94,9,0,17.27,clear sky
280,Baruun-Urt,MN,46.6806,113.2792,8.26,73,100,8.97,overcast clouds
281,Douglas,US,41.3,-96.167,51.01,44,0,14.97,clear sky
282,Bandarbeyla,SO,9.4942,50.8122,76.06,67,82,15.46,broken clouds
283,Lakes Entrance,AU,-37.8811,147.981,65.16,91,88,9.06,overcast clouds
284,Saint George,US,37.1041,-113.5841,79.27,17,0,4.61,clear sky
285,Fairbanks,US,64.8378,-147.7164,29.91,81,0,0.0,clear sky
286,Hirara,JP,24.8,125.2833,70.07,80,100,17.72,overcast clouds
287,Kilindoni,TZ,-7.9139,39.6668,81.72,76,85,13.15,overcast clouds
288,Shaowu,CN,27.3409,117.4831,62.29,98,100,2.51,overcast clouds
